Id,Name,Position,State,Img_url,Party
0,Doug Jones,Senator,Alabama,/img/member/115_sr_al_jones_doug_200.jpg,Democrat
1,Gary Palmer,Representative,Alabama,/img/member/p000609_200.jpg,Republican
2,Bradley Byrne,Representative,Alabama,/img/member/b001289_200.jpg,Republican
3,Mo Brooks,Representative,Alabama,/img/member/b001274_200.jpg,Republican
4,Martha Roby,Representative,Alabama,/img/member/r000591_200.jpg,Republican
5,Terri Sewell,Representative,Alabama,/img/member/s001185_200.jpg,Democrat
6,Mike Rogers,Representative,Alabama,/img/member/r000575_200.jpg,Republican
7,Robert Aderholt,Representative,Alabama,/img/member/a000055_200.jpg,Republican
8,Richard Shelby,Senator,Alabama,/img/member/s000320_200.jpg,Republican
9,Dan Sullivan,Senator,Alaska,/img/member/s001198_200.jpg,Republican
10,Lisa Murkowski,Senator,Alaska,/img/member/m001153_200.jpg,Republican
11,Don Young,Representative,Alaska,/img/member/y000033_200.jpg,Republican
12,Greg Stanton,Representative,Arizona,/img/member/s001211_200.jpg,Democrat
13,Andy Biggs,Representative,Arizona,/img/member/b001302_200.jpg,Republican
14,Debbie Lesko,Representative,Arizona,/img/member/l000589_200.jpg,Republican
15,Tom O'Halleran,Representative,Arizona,/img/member/o000171_200.jpg,Democrat
16,Martha McSally,Senator,Arizona,/img/member/m001197_200.jpg,Republican
17,Ruben Gallego,Representative,Arizona,/img/member/g000574_200.jpg,Democrat
18,Kyrsten Sinema,Senator,Arizona,/img/member/s001191_200.jpg,Democrat
19,Ann Kirkpatrick,Representative,Arizona,/img/member/k000368_200.jpg,Democrat
20,David Schweikert,Representative,Arizona,/img/member/s001183_200.jpg,Republican
21,Paul Gosar,Representative,Arizona,/img/member/g000565_200.jpg,Republican
22,Raul Grijalva,Representative,Arizona,/img/member/g000551_200.jpg,Democrat
23,Bruce Westerman,Representative,Arkansas,/img/member/w000821_200.jpg,Republican
24,J. Hill,Representative,Arkansas,/img/member/h001072_200.jpg,Republican
25,Tom Cotton,Senator,Arkansas,/img/member/c001095_200.jpg,Republican
26,Steve Womack,Representative,Arkansas,/img/member/w000809_200.jpg,Republican
27,Eric Crawford,Representative,Arkansas,/img/member/c001087_200.jpg,Republican
28,John Boozman,Senator,Arkansas,/img/member/b001236_200.jpg,Republican
29,Mike Garcia,Representative,California,,Republican
30,Josh Harder,Representative,California,,Democrat
31,TJ Cox,Representative,California,/img/member/c001124_200.jpg,Democrat
32,Katie Hill,Representative,California,/img/member/h001087_200.jpg,Republican
33,Mike Levin,Representative,California,/img/member/l000593_200.jpg,Democrat
34,Katie Porter,Representative,California,/img/member/p000618_200.jpg,Democrat
35,Harley Rouda,Representative,California,/img/member/r000616_200.jpg,Democrat
36,Gilbert Cisneros,Representative,California,/img/member/c001123_200.jpg,Democrat
37,Jimmy Gomez,Representative,California,/img/member/115_rp_ca_34_gomez_jimmy_200.jpg,Democrat
38,Ro Khanna,Representative,California,/img/member/k000389_200.jpg,Democrat
39,Jimmy Panetta,Representative,California,/img/member/p000613_200.jpg,Democrat
40,Kamala Harris,Senator,California,/img/member/h001075_200.jpg,Democrat
41,Nanette Barragan,Representative,California,/img/member/b001300_200.jpg,Democrat
42,Salud Carbajal,Representative,California,/img/member/115_rp_ca_24_carbajal_salud_200.jpg,Democrat
43,J. Correa,Representative,California,/img/member/115_rp_ca_46_correa_j_200.jpg,Democrat
44,Pete Aguilar,Representative,California,/img/member/a000371_200.jpg,Democrat
45,Mark DeSaulnier,Representative,California,/img/member/115_rp_ca_11_desaulnier_mark_200.jpg,Democrat
46,Ted Lieu,Representative,California,/img/member/l000582_200.jpg,Democrat
47,Norma Torres,Representative,California,/img/member/t000474_200.jpg,Democrat
48,Ami Bera,Representative,California,/img/member/b001287_200.jpg,Democrat
49,Julia Brownley,Representative,California,/img/member/b001285_200.jpg,Democrat
50,Tony Cardenas,Representative,California,/img/member/c001097_200.jpg,Democrat
51,Paul Cook,Representative,California,/img/member/c001094_200.jpg,Republican
52,Jared Huffman,Representative,California,/img/member/h001068_200.jpg,Democrat
53,Doug LaMalfa,Representative,California,/img/member/l000578_200.jpg,Republican
54,Raul Ruiz,Representative,California,/img/member/r000599_200.jpg,Democrat
55,Eric Swalwell,Representative,California,/img/member/s001193_200.jpg,Democrat
56,Mark Takano,Representative,California,/img/member/t000472_200.jpg,Democrat
57,Juan Vargas,Representative,California,/img/member/v000130_200.jpg,Democrat
58,Alan Lowenthal,Representative,California,/img/member/l000579_200.jpg,Democrat
59,Scott Peters,Representative,California,/img/member/p000608_200.jpg,Democrat
60,Karen Bass,Representative,California,/img/member/115_rp_ca_37_bass_karen_200.jpg,Democrat
61,Judy Chu,Representative,California,/img/member/c001080_200.jpg,Democrat
62,John Garamendi,Representative,California,/img/member/g000559_200.jpg,Democrat
63,Duncan Hunter,Representative,California,/img/member/h001048_200.jpg,Republican
64,Tom McClintock,Representative,California,/img/member/m001177_200.jpg,Republican
65,Kevin McCarthy,Representative,California,/img/member/m001165_200.jpg,Republican
66,Jerry McNerney,Representative,California,/img/member/m001166_200.jpg,Democrat
67,Jackie Speier,Representative,California,/img/member/s001175_200.jpg,Democrat
68,Jim Costa,Representative,California,/img/member/c001059_200.jpg,Democrat
69,Doris Matsui,Representative,California,/img/member/m001163_200.jpg,Democrat
70,Devin Nunes,Representative,California,/img/member/n000181_200.jpg,Republican
71,Linda Sanchez,Representative,California,/img/member/s001156_200.jpg,Democrat
72,Susan Davis,Representative,California,/img/member/d000598_200.jpg,Democrat
73,Adam Schiff,Representative,California,/img/member/115_rp_ca_28_schiff_adam_200.jpg,Democrat
74,Mike Thompson,Representative,California,/img/member/t000460_200.jpg,Democrat
75,Barbara Lee,Representative,California,/img/member/l000551_200.jpg,Democrat
76,Grace Napolitano,Representative,California,/img/member/n000179_200.jpg,Democrat
77,Brad Sherman,Representative,California,/img/member/s000344_200.jpg,Democrat
78,Zoe Lofgren,Representative,California,/img/member/l000397_200.jpg,Democrat
79,Dianne Feinstein,Senator,California,/img/member/f000062_200.jpg,Democrat
80,Ken Calvert,Representative,California,/img/member/c000059_200.jpg,Republican
81,Maxine Waters,Representative,California,/img/member/w000187_200.jpg,Democrat
82,Anna Eshoo,Representative,California,/img/member/e000215_200.jpg,Democrat
83,Lucille Roybal-Allard,Representative,California,/img/member/r000486_200.jpg,Democrat
84,Nancy Pelosi,Representative,California,/img/member/p000197_200.jpg,Democrat
85,Jason Crow,Representative,Colorado,/img/member/c001121_200.jpg,Democrat
86,Joe Neguse,Representative,Colorado,/img/member/n000191_200.jpg,Democrat
87,Ken Buck,Representative,Colorado,/img/member/115_rp_co_4_buck_ken_200.jpg,Republican
88,Cory Gardner,Senator,Colorado,/img/member/g000562_200.jpg,Republican
89,Scott Tipton,Representative,Colorado,/img/member/t000470_200.jpg,Republican
90,Michael Bennet,Senator,Colorado,/img/member/b001267_200.jpg,Democrat
91,Doug Lamborn,Representative,Colorado,/img/member/l000564_200.jpg,Republican
92,Ed Perlmutter,Representative,Colorado,/img/member/p000593_200.jpg,Democrat
93,Diana DeGette,Representative,Colorado,/img/member/d000197_200.jpg,Democrat
94,Jahana Hayes,Representative,Connecticut,/img/member/h001081_200.jpg,Democrat
95,Richard Blumenthal,Senator,Connecticut,/img/member/b001277_200.jpg,Democrat
96,Christopher Murphy,Senator,Connecticut,/img/member/m001169_200.jpg,Democrat
97,Joe Courtney,Representative,Connecticut,/img/member/c001069_200.jpg,Democrat
98,James Himes,Representative,Connecticut,/img/member/h001047_200.jpg,Democrat
99,John Larson,Representative,Connecticut,/img/member/l000557_200.jpg,Democrat
100,Rosa DeLauro,Representative,Connecticut,/img/member/115_rp_ct_3_delauro_rosa_200.jpg,Democrat
101,"Rochester, Blun",Representative,Delaware,/img/member/b001303_200.jpg,Democrat
102,Christopher Coons,Senator,Delaware,/img/member/c001088_200.jpg,Democrat
103,Thomas Carper,Senator,Delaware,/img/member/c000174_200.jpg,Democrat
104,Rick Scott,Senator,Florida,/img/member/s001217_200.jpg,Republican
105,Ross Spano,Representative,Florida,/img/member/s001210_200.jpg,Republican
106,Michael Waltz,Representative,Florida,/img/member/w000823_200.jpg,Republican
107,Donna Shalala,Representative,Florida,/img/member/s001206_200.jpg,Democrat
108,W. Steube,Representative,Florida,/img/member/s001214_200.jpg,Republican
109,Charlie Crist,Representative,Florida,/img/member/c001111_200.jpg,Democrat
110,Matt Gaetz,Representative,Florida,/img/member/g000578_200.jpg,Republican
111,Debbie Mucarsel-Powell,Representative,Florida,/img/member/m001207_200.jpg,Democrat
112,Francis Rooney,Representative,Florida,/img/member/r000607_200.jpg,Republican
113,Darren Soto,Representative,Florida,/img/member/115_rp_fl_9_soto_darren_200.jpg,Democrat
114,Val Demings,Representative,Florida,/img/member/d000627_200.jpg,Democrat
115,Neal Dunn,Representative,Florida,/img/member/115_rp_fl_2_dunn_neal_200.jpg,Republican
116,"Al, Lawson",Representative,Florida,/img/member/l000586_200.jpg,Democrat
117,Brian Mast,Representative,Florida,/img/member/115_rp_fl_18_mast_brian_200.jpg,Republican
118,Stephanie Murphy,Representative,Florida,/img/member/m001202_200.jpg,Democrat
119,John Rutherford,Representative,Florida,/img/member/r000609_200.jpg,Republican
120,Lois Frankel,Representative,Florida,/img/member/f000462_200.jpg,Democrat
121,Ted Yoho,Representative,Florida,/img/member/y000065_200.jpg,Republican
122,Marco Rubio,Senator,Florida,/img/member/r000595_200.jpg,Republican
123,Daniel Webster,Representative,Florida,/img/member/w000806_200.jpg,Republican
